     0;           1;           1;           1
     1;           2;           3;           2
     2;           5;           6;           4
     3;          12;          10;           6
     4;          27;          15;           9
     5;          58;          21;          12
     6;         121;          28;          16
     7;         248;          36;          20
     8;         503;          45;          25
     9;        1014;          55;          30
    10;        2037;          66;          36
    11;        4084;          78;          42
    12;        8179;          91;          49
    13;       16370;         105;          56
    14;       32753;         120;          64
    15;       65520;         136;          72
    16;      131055;         153;          81
    17;      262126;         171;          90
    18;      524269;         190;         100
    19;     1048556;         210;         110
    20;     2097131;         231;         121
    21;     4194282;         253;         132
    22;     8388585;         276;         144
    23;    16777192;         300;         156
    24;    33554407;         325;         169
    25;    67108838;         351;         182
    26;   134217701;         378;         196
    27;   268435428;         406;         210
    28;   536870883;         435;         225
    29;  1073741794;         465;         240
    30;  2147483617;         496;         256
    31;  4294967264;         528;         272
    32;  8589934559;         561;         289
