     1;           8;           6;           1;           1
     2;          10;           6;           9;          10
     4;          16;           6;          15;          16
     8;          22;           6;          19;          28
    16;          28;           6;          22;          52
    32;          34;           6;          28;         100
    64;          40;           6;          35;         196
   128;          46;           6;          41;         388
   256;          52;           6;          37;         772
   512;          58;           6;          45;        1540
  1024;          64;           6;          50;        3076
  2048;          70;           6;          53;        6148
  4096;          76;           6;          57;       12292
  8192;          82;           6;          60;       24580
 16384;          88;           6;          69;       49156
